Name,Nationality,Club,Position,Overall,Pace,Shooting,Passing,Dribbling,Defence,Physical,Image
Bernardo Silva,Portugal,Manchester City,Mid-Field,88,77,78,84,92,61,68,
Fabinho,Brazil,Liverpool,Mid-Field,87,66,69,78,77,86,83,
Thomas Muller,Germany,Bayern Munich,Mid-Field,87,69,84,83,80,56,71,
Rodri,Spain,Manchester City,Mid-Field,87,58,72,78,79,83,84,
Frenkie De Jong,Netherlands,Barcelona,Mid-Field,87,82,69,86,87,77,78,
Marco Verratti,Italy,PSG,Mid-Field,87,60,61,87,91,79,66,
Leon Goretzka,Germany,Bayern Munich,Mid-Field,87,78,82,82,83,81,86,
Thiago,Spain,Liverpool,Mid-Field,86,61,72,87,90,72,69,
Kingsley Coman,France,Bayern Munich,Mid-Field,86,92,77,79,87,30,62,
Sergej Milinkovic-Savic,Serbia,Latium,Mid-Field,86,68,80,82,82,79,86,
Nicolo Barella,Italy,Inter Milan,Mid-Field,86,79,76,83,84,77,81,
Bruno Fernandes,Portugal,Manchester United,Mid-Field,86,72,86,88,81,67,76,
Marcelo Brozovic,Croatia,Inter Milan,Mid-Field,86,72,86,88,81,67,76,
Dani Parejo,Spain,Villarreal CF,Mid-Field,86,50,83,90,80,71,68,
Ilkay Gundogan,Germany,Manchester City,Mid-Field,85,64,80,85,85,72,72,
Paul Pogba,France,Juventus,Mid-Field,85,67,80,85,85,62,80,
Jorginho,Italy ,Chelsea,Mid-Field,85,54,67,86,81,73,73,
Marco Reus,Geramny,BVB,Mid-Field,85,70,84,84,85,53,65,
Serge Gnabry,Germany,Bayern Munich,Mid-Field,85,82,84,79,85,43,69,
sergio Busquets,Spain,Barcelona,Mid-Field,85,42,62,79,79,82,73,
Pedri,Spain,Barcelona,Mid-Field,85,79,67,81,87,68,73,
Filip Kostic,Serbia,Juventus,Mid-Field,85,84,78,82,82,68,80,
Jude Bellingham,England,BVB,Mid-Field,84,75,75,78,84,77,80,
Martin odegaard,Norway,Arsenal,Mid-Field,84,76,75,86,84,58,63,
Declan Rice ,England,West Ham,Mid-Field,84,71,64,74,76,82,83,
Mason Mount,England,Chelsea,Mid-Field,84,74,81,85,82,55,67,
Fede Valverde,Uruguay,Real Madrid,Mid-Field,84,87,74,79,79,78,80,
Rodri de paul,Argentina,Atletico De Madrid,Mid-Field,84,78,77,83,82,75,81,
Sandro tonali,Italy,AC MILAN,Mid-Field,84,81,73,81,79,79,82,
Frank Kessie,Ivory Coast,Barcelona,Mid-Field,84,78,76,74,79,82,87,
Mateo Kovacic,Croatia,Chelsea,Mid-Field,84,70,69,83,88,71,71,
Ivan Perisic,Croatia,Tottenham,Mid-Field,84,78,81,79,82,74,78,
Thomas Partey,Ghana,Arsenal,Mid-Field,84,65,71,81,80,80,83,
Kai Havertz,Germany,Chelsea,Mid-Field,84,81,79,79,84,45,66,
Moussa Diaby,France,Bayern leverkusen,Mid-Field,84,93,73,75,87,42,59,
Marcos Llorente,Spain,Atletico De Madri,Mid-Field,84,88,79,81,82,78,81,
koke,Spain,Atletico De Madrid,Mid-Field,83,70,72,84,79,78,79,
Jordan Henderson,England,Liverpool,Mid-Field,83,66,74,83,78,78,81,
Ruben Neves,Portugal,Wolverhampton,Mid-Field,83,58,74,86,77,76,73,
Aurelien Tchouameni,France,Real Madrid,Mid-Field,82,70,70,79,78,81,82,
Manuel Locatelli,Italy,Juventus,Mid-Field,82,63,72,79,78,79,79,
James Maddison,England,Leicester City,Mid-Field,82,73,78,84,85,54,62,
Christian Eriksen,Denmark,Manchester Unite,Mid-Field,82,61,78,88,80,53,52,
